P0AGJ9 P45955
P76594 P0A7W1
P32705 P0A7A9
P37330 P00864
P0CE47 P39408
P0A7R1 P39396
P13039 P35340
P0A6H5 P0AEB0
P69910 P0AF67
P68739 P50465
P39180 P0AG30
P0AE60 P0ACF8
P0ACD4 P0A9H7
P0A910 P27127
P0AG59 P32177
P36659 P0A717
P0A8Q3 P0A8Q3
P46474 P13035
P0ABA0 P0AC30
P0A7U7 P23917
P0A7M2 P0A832
P07024 P33937
P0A850 P0A7M6
P30126 P0A870
P0AE60 P00579
P60438 P22523
P0ABH9 P0A7N9
P76440 P0AEF4
Q03708 P09883
P0A944 P67910
P03018 P0A8F8
P0A7V3 P0A7Z4
P61320 P17445
P02930 P06739
P0A7J0 P39830
P23830 P68679
P0A6X3 P0AG24
P37645 P0ADZ0
P0A7V0 P13445
P0AG84 P0A988
P60723 P05055
P02359 P21645
P0A7A9 P0AC75
P02413 P69913
P0CE48 P24229
P76195 P42641
P0AG24 P0AGJ2
P39177 P39407
P0A8Z0 P0A6I6
P0ABU7 P0A7R5
P0A707 P0ABH9
P23895 P04128
P0A7L0 P0AF63
P02387 P21513
P06959 P00582
P0A6P9 P21513
P20083 P76092
P10408 P24203
P17169 P33366
P31133 P0A7Z4
P0CE48 P0A6P1
P31473 P31473
P37765 P0A7B8
P00959 P28903
P52106 P39407
P0A7W7 P05637
P0AAH0 P08622
P0A705 P36979
P0A7W1 P0CE47
P0A7R5 P08622
P07650 P37685
P0AFG8 P0AE67
P0ACM5 P0ACM5
P69913 P0A7T3
P0A7V0 P39286
P76389 P0A7U7
P67910 P0A6F9
P76223 P0A7K6
P0AFB5 P0AFB5
P0AF93 P60624
P08957 P68739
P0A7S9 P0A6Q3
P0A850 P0A6A6
P0A6X7 P76268
P62399 P23836
P0A7M2 P00893
P0A707 P0A9J0
P37902 P33195
Q47536 P69931
P20082 P06959
P0AD68 P0A6J8
P0A776 P0A7K6
P0A6B7 Q1R8K8
P39831 P0AF90
P0AG07 P31063
P76558 P76558
P30871 P0AFG8
P31663 P65556
P0A7L3 P0A847
P69913 P0A7M2
P0A7V8 P37750
P37344 P0AFM6
P77808 P76440
P0A707 P75617
P14081 P0A7K2
P76339 P11880
P0ABU7 P0ACF8
P0A968 P0AA39
P77539 P0A7K6
P21499 P0A7L0
P0ACD4 P0AGE9
P0ABK7 P0ABK7
P0ADK8 P0C018
P0ADZ7 P67910
Q47083 Q47083
P0A8E5 P0AG59
P06721 P06721
P07004 Q46840
P76251 P76251
P0ABS8 P28631
P0AF20 P0AEZ3
P0ABA6 P0A7Y4
P30871 P0AAS7
P30750 P05791
P0A9W9 P0AE85
P0A809 P37765
P0A7N9 P28905
P0AA39 P02413
P0A8N3 P39315
P25539 P0A9Q5
P09551 P33195
P17952 P68066
P0A7M2 P37751
P0AC81 P0A6F5
P21362 P0A796
P0A9Y6 P25888
P0A7V0 P31473
P09883 P04482
P21499 P63228
P0ACF0 P0ABU7
P0A7R1 P46853
P28629 P28629
P60723 P20083
P0A910 P46923
P76213 P0A6F5
P27431 P27431
Q46821 P02413
P0ACD4 P0A6B7
P08142 P0AC33
Q46796 P0A6Z1
P27302 P33570
P21645 P60438
P0CE47 P10443
P0AC33 P0ACB0
P0A9P6 P0A7R9
P0AEB7 P0AFI7
P0ADQ7 P0A8C4
P76136 A1Z2S2
P31553 P31553
P0A7K6 P0A7B8
P09152 P19317
P0CE48 P04951
P0A8T7 P60422
P0ABT2 P0ABF1
P0AGK4 P0A7L3
P0A8G9 P22523
P46133 P14294
P0A7L0 P09546
P60723 P0AAS7
P39333 P39333
P0AGF2 P0AGF2
P0A800 P06612
P0AFC0 P0A9P0
P00961 P0A8D0
P0ADA3 P0A7N9
P19926 P19926
P21645 P0AAE5
P0A6F9 P29012
P61175 P0A6K3
P0A9M2 P21169
P0A9K3 P67910
P0A7B8 P0A6H5
P0A6F9 P0AF67
P0AGJ5 P0AGK4
P76086 P0A7M2
P0AG48 P37765
P15043 P28905
P69913 P0AG55
P0ACF0 P69913
P0AA10 P00490
P0A988 P0ACY3
P0AG51 P0ADA3
P00956 P19930
P33371 P0A7V0
P0A9Y6 P43329
P0ACF0 P39180
P0A6X7 P0AGK8
P0A9T0 P0A9T0
P0CE48 P17952
P37642 P37659
P31057 P0A7M6
P0AG59 P0ACE0
P77398 P77398
P64455 P0AA10
P64517 P60422
P0A7R1 P0A9M0
P0A7Z4 P0A944
P0A9K9 P0AGE0
P02429 P28905
P0AED9 P0A7U7
P0CE48 Q46802
P0AAB8 P0AED0
Q46925 P15877
P0A7U7 P0AG14
P77656 P09154
P0AG48 P0AGJ5
P06710 P0A780
P13036 P23485
P33666 P0A6F9
P04993 P0A6F9
P0A7K6 P0A9W0
P0A9P0 P21893
P0A850 P0A705
P0C018 P0A776
P0A8E5 P0A7U7
P0A7S9 P0AA39
P14081 P02426
P24182 P16703
P0A8L7 P0AD03
P02420 P0A717
P02413 P76594
P60624 P75829
P0AG59 P0A968
P0A6R3 P30864
P0ADW3 P0ACV4
P39180 P09373
P0ADY7 P0A776
P0AEM6 P0AEG4
P0A7E9 P0AED0
P39385 P0AAB6
P0A8Y5 P25522
P31663 P0ABA6
P06993 P36979
P0ACN4 P0ADZ4
P02420 P09372
P09883 P02931
P0C054 P08622
P0ACA7 P39177
P0A8M6 P0AG24
P0AGA2 P0AGA2
P0AES4 P76116
P0A759 P0A6P9
P68919 P0ADZ0
P0ADY1 P76576
P09030 P0ABT5
P23845 P21156
P0A7K6 P69913
P0A7V3 P23836
P00963 P00963
P0ADZ0 P0ADX1
P06993 P0CE47
P0AGJ5 P28631
P52613 P06993
P39385 P0A7R1
P25718 P39099
P00893 P00893
P02358 P36979
P0A7U7 P0A776
P0ADZ4 P77781
P0A7R1 P02358
P0A759 P0AG80
P06987 P05637
P0A7L0 P16528
P21513 P77781
P60723 P03004
P15043 Q46811
P0A7W1 P36659
P21513 P02359
P0ACQ4 P0ACQ4
P0A9K3 P0A7L0
P0A7J7 P0A6Q3
P33570 P0A9Y6
P36879 P0A7W7
P0A698 P0A698
P0A9Y6 P0A7U7
P69423 P36649
P0ACB2 P23538
Q46899 Q46897
P18392 P52108
P37902 P0AEE3
P00550 P19245
P67762 P37765
P76558 P43329
P0AD61 P0ADY7
P02413 P21499
P0A776 P02413
P76268 P0A698
P46853 P0A7M2
P0ACE7 P39359
P76065 P76065
P0A8E5 P0A7V8
P77481 P37024
P0A7Y8 P0AA39
P37640 P30750
P0AFP6 P06996
P22523 P0A7T3
P04128 P00968
P0A8M6 P23830
P28692 P06959
P76116 P0ADY7
P16525 P0ACB0
P0A978 P37326
P0ABF1 P0A7V8
P77439 P0ADZ0
P0AG20 P0AG20
P0A7R5 P06722
P0A8W8 P77808
P0A7K6 P76104
P77781 P0A7M6
P0A7K2 P0AF67
Q0P6M6 Q0P6M6
P09373 P30015
P17315 P0A7T3
P0A8N5 P68919
P0AAW1 P33195
P0ABH7 P0A850
P0A850 P0A6X3
P0A7L0 P0A847
P25521 P02358
P0A759 P62399
P0AGK8 P0ACF0
P0A6F5 P50465
P0A7L0 P0A8M6
P32138 P0ADI0
P0A7A9 P0A6I6
P0A800 P00579
P0ACF0 P76116
P08202 P08202
P0A6X3 P30871
P0AE67 P06959
P23538 P0AE85
P0A972 P60723
P37309 P37309
P07017 P07017
Q47706 P0A7H0
P64476 P0A6G7
P00582 P0A7Z4
P21499 P75829
P37765 P0A7K6
P77791 P77791
P68679 P0A7Y8
P0AG48 P0ADH5
P0A9P6 P21513
P31802 P27896
P0A7R5 P0A7E9
P0A7U7 P76550
P0A7Y8 P0A7U7
P06138 P0A6H5
P33224 P0A7U7
P0A7K2 Q46798
P02918 P0A7V8
P08622 P0AGB3
P39831 P0AB40
P15038 P69913
P0AFP6 P0A9M0
P60624 P25516
P0A832 P00490
P39407 P02413
P69931 P0A749
P0ADS6 P0AG59
P21893 P0A7Y4
P0AFG0 P60422
P0A6F9 P39180
P23256 P06993
P04127 P07111
P0A6P9 P23917
P0A858 P68066
P25516 P0AEG4
P0A901 P0A7V3
P0CE47 P09546
P0A7S9 P76316
P0AG67 P64429
P0A7R1 P0A910
P75957 P0A6F9
P0ABT2 P33599
P0AA10 P37765
P75683 P0ACG8
Q47536 P43672
P0A776 P0A7V8
P0A6F5 P62623
P0ADY3 P64588
P09832 P0ACP1
P0ADH5 P0A7T7
P30749 P30748
P0A6X3 P0ACF0
P0AFI0 P16687
P60422 P69739
P0A8J8 P0AG48
P0A9K9 P0ABT2
P62399 P0A776
P75675 P31434
P09832 P0AEF4
P21499 P0A7W7
P0A847 P60422
P77488 Q46942
P0AG44 P0ADZ0
P0CE47 P0AED5
P0ACV4 P0A9B2
P27305 P0A9P0
P0A707 P0A7Y8
P0AGG2 P0AGG2
P76116 P0C018
P37751 P0A9Y6
P0A9L8 P0ABT2
P0A7K2 P77698
P08622 P69913
P31473 P42632
P0ADZ0 P0ACB0
P0A8R7 P0A972
P32680 P0A7S9
P0ABB0 P14294
P0AFG8 P15043
P63228 P60422
P28305 P28305
P0A6F5 P0A7E1
P02358 P64581
P68066 P77539
P06993 P06993
P22939 P77609
P0A7G6 P0A836
P0A7V0 P16528
P07004 P0AFT5
P39830 P39286
P37751 P0A7V8
P33591 P0A7T3
P76104 P05824
P0A7M2 P0A6Q3
P08716 P06739
P60438 P76316
P0ADS6 P0A7R9
P08622 P0A991
P0A8E5 P0AG44
P36979 P02387
P00561 P0A6H5
P0ABH0 P69488
P03007 P0ABS8
P06996 P30871
P00579 P0A7V0
P0A8N3 P39362
P31473 P00363
P06959 P0A8F8
P17577 P77377
P05704 P05704
P29745 P0A858
P09546 P30126
P00957 P0A7V0
P10441 P0A7V0
P0ABU7 P0A7R1
P0AGJ5 P0A9K3
P0AGD7 P0A7L0
P0A9P6 P0AGJ5
P0A944 P0A6M8
