Q96K21 Q13627
Q91X58 P42566
Q13042 Q969G2
Q8VDS3 Q5BJU7
O95219 O43474
Q99942 Q60803
Q9BRX5 P19438
O96000 P04792
P97879 O43159
Q15648 Q80WQ6
Q12154 Q9BUI4
Q6NUQ1 Q6UN15
P52435 P68135
Q13242 Q8TCY5
Q9P2I0 O43303
O60784 Q16656
P35398 Q9H0X9
Q8K4K2 Q9BXN2
P16778 Q62311
P22736 P04925
Q8IYV9 P55197
P17480 Q15005
P55055 P20339
Q96CG3 Q9FNE9
P21796 Q86YL7
P47712 P25454
O60934 Q15907
Q96RD7 P56716
Q04695 P23572
O00330 P17844
P28370 Q8N3Y3
Q9NR28 Q13404
O95292 Q70CQ3
P21912 P04625
Q9Y385 O75843
Q9UKT4 Q9NX18
P67812 Q86YP4
Q15652 Q12879
Q9Y6D5 P55317
Q13114 Q9C005
Q9H1Y0 O43395
P84244 P46108
O43173 Q9BYB0
Q9UK99 Q9Y2L5
Q13489 Q5T4F4
Q920Q2 Q2KHM9
P07814 Q8VCD5
O76031 P51114
Q9BSQ5 Q80U63
P16778 Q8N365
Q8TCN5 Q99942
P81274 Q96AP0
P20700 Q9BVG8
Q03518 Q8WXX7
Q8QZZ8 Q13416
Q01320 P60763
P14625 Q9Y2U5
Q15466 P17693
P30533 Q13362
Q9UN86 Q96RD7
Q9C0J9 Q9DCH4
Q9UHX1 P07737
P16104 Q92743
Q61496 Q96AE4
P27540 Q96CS3
Q01484 Q27272
Q9UPS6 P14174
O88572 Q9QPN3
Q9BZK7 Q9H0R6
Q969G9 P43268
P05455 Q7LC44
O95602 O14974
Q15370 Q99719
Q14247 Q86U70
Q8K4J6 Q9NZ45
P03372 P05141
Q9BRJ2 Q8WUF5
Q9BTC8 Q0JRZ9
Q9NZN8 P82664
Q811U4 Q9QXS1
P62494 Q96DA6
Q9NQT8 Q05516
Q7Z419 Q13111
P49817 P15884
Q8NFR3 Q13651
Q9Z0S6 Q9ULR0
P14859 O08852
Q13472 O95714
Q9P209 Q96NY9
Q9UID3 Q12923
P48444 P30876
Q9ES74 P56159
P29473 Q8NE86
P54725 Q2I0M4
P49791 P03406
Q9H4B7 P42262
Q5JTV8 P54284
Q96HI0 Q9ERG0
Q9JJY3 P26233
P28676 Q9HBM1
O95639 P12694
Q07478 P49768
Q9UBS4 Q07813
P11831 P49768
Q99418 P61019
Q5TZA2 Q15648
P54278 O75716
P56159 O96020
P35918 Q5VSY0
Q7RTN6 Q8T045
Q96B01 P51795
Q08945 Q58A45
Q9Y6D5 Q8N2W9
Q07478 O43164
Q9Y496 P42704
P07305 O14640
A5YKK6 Q92843
P33240 P30519
O95810 P17480
P28370 P97260
Q8N4Q1 Q8NHV4
Q99962 Q9C005
Q9UQL6 Q9H0X9
Q8WUW1 O09053
P10085 Q9QXG4
P67812 P68106
Q04199 P63010
P06454 P06239
O00461 Q6ZQ88
Q13432 Q969G3
P46939 Q9NUJ1
Q2NKJ3 O18973
Q8TDM6 O75448
Q99684 P97573
P21675 A0FGR8
O43752 Q6UN15
Q04864 P30622
P62318 O75865
Q8BHJ5 Q9Y572
Q6ZYL4 Q80U63
P70388 P60880
P70351 Q9HC77
Q96RL1 P20936
Q61188 Q14141
P43405 O60341
O75175 Q7Z434
Q14565 P19332
Q96I24 Q9P2W9
P28223 Q60793
Q96CB9 Q15906
Q14678 P21912
Q3UHK8 Q9NRL2
P32883 Q9NQB0
Q6UXV4 P55197
P42261 Q16658
Q3V6T2 P07237
P04229 Q9UHB6
O95822 P49817
P23443 Q8T045
P58335 P70315
O14964 O15269
Q96NY9 P54830
Q02297 P25325
Q96B97 Q9D0A0
P63000 Q8N680
O00267 P62834
Q9UGN5 Q13813
P48552 O94925
Q9H0W5 Q99801
P31314 P20339
P31322 O75367
Q9Y6N9 Q02535
P05165 Q3U182
O76003 P11831
Q9BTM9 P54725
Q9P2W9 Q5JU85
Q9GZU7 O43353
Q9H3P2 Q91YI1
P31948 Q7Z7H8
Q6UXV4 Q9Y5B9
Q13573 P10721
Q96K62 Q9BVA6
Q01484 P35354
P51795 Q96K76
P25118 P35637
P23572 P50395
Q9UHK0 P16050
Q9NRX4 P32558
Q9H6W3 P55212
P32780 Q92614
Q13472 Q8TCN5
Q06945 Q61851
Q12923 Q9H082
Q96I25 P15924
Q9NRL2 P63010
Q8IUF8 P60520
Q02297 P46934
Q9NZ45 P12270
P56545 Q13554
Q14185 P33778
O70903 O88850
Q9HBM1 P55957
P26045 P51608
P13010 P30671
Q8NE86 Q7Z589
Q8WXI2 O75643
Q86SE9 O70903
P20700 Q62073
P23528 O75396
Q62689 Q9BPX6
Q86SZ2 Q16526
P56817 P19387
P29590 P08571
Q9BTT4 Q8NHV1
Q9Y6X3 Q29983
O00170 Q9HBM1
Q9H082 Q96CB8
Q96T58 Q8IXI2
Q9BUN5 Q96DA6
O14908 Q13105
Q9JKV1 O75396
P52948 Q5XLA6
P51153 O94953
Q9Y5M8 O88838
P10515 Q13503
Q9H2P0 Q6PAL8
Q13546 Q03468
O95292 P35221
Q68CP9 Q15005
Q68CZ6 Q96EF0
Q14686 P55212
Q9Y376 Q13029
Q99942 P23258
P63005 Q12931
Q9BUQ8 Q7L576
P13674 Q9H7E2
O15269 O15372
O15273 Q15788
Q6UX06 P15646
Q9UBV2 Q9UPX8
Q7KZF4 P38117
Q86UT6 P08571
P11177 O75146
P10809 Q9Y2X0
O15027 Q9BTC8
P10914 Q3U4G3
Q8TD16 O60337
Q13535 P17987
Q9H0U6 P40937
Q5EBH1 P62805
Q96CF2 Q9Z277
Q9HCE7 Q96I24
Q96C10 Q01094
Q96CS2 P22303
O75122 Q3U7R1
P12277 P05423
O00482 P25491
Q9Y2Q3 P61007
Q03142 O00444
P01009 Q6NZM9
Q61091 P20339
O75865 O75170
P20936 P49257
