P19438 Q62315
Q9Y5U4 Q63538
Q12888 P33173
Q9EQZ6 Q9JM54
P48987 Q9NTG7
P05783 P19438
Q8K4Q0 O35286
P29037 Q9CZD3
Q924H2 Q8BLU0
O35601 Q5SPW0
Q8CII8 P11442
Q9ERB0 P35269
O09053 Q9JIY5
Q01094 Q8BMT4
Q8VBV4 O75695
Q91YI1 Q60722
Q8BRH4 Q5EBH1
Q61585 P63086
Q9QZ88 P14653
O35235 Q9JM54
Q5BJU5 P01112
Q91X58 O08528
Q9CXC9 Q6P9P6
P20029 P41969
P06730 P46099
Q09163 P06400
Q91YI1 Q64163
Q03142 P63017
P46096 Q8BJS4
P23198 P60953
O35261 O75460
Q9P1Y5 P51825
P42582 Q9UKV5
Q9NXV6 Q8VDU0
Q5VIR6 P52795
Q99ML1 P63212
Q8NBS9 Q91XD6
Q07120 P49817
P20152 Q9ERE7
Q16611 P15532
Q7TPD0 Q9CQU3
P23242 P19091
P83953 Q8NBS9
Q3ZCQ8 P20339
Q8VCF0 Q9UKT7
Q8R5C8 P08752
Q12888 Q08509
Q99PP7 P35294
Q91ZP6 O88572
P21279 Q9JK11
Q16594 Q8VEM8
Q9JJY3 O70372
Q80W00 Q60770
O35972 Q64287
Q08484 Q9CQJ4
P46013 Q80Y61
Q61457 P63211
Q5SWZ9 P09803
E2JF22 Q8BHJ5
O08547 Q5SWU9
Q99743 P02994
Q8BPQ7 P08113
Q8K4K2 P63009
P29122 P22723
Q9JL19 P35235
O43896 P51881
O55222 Q91X58
Q9NTG7 Q1XH17
Q924T7 Q64213
Q910N6 P97762
O35618 Q03555
Q61827 Q99JW4
P23198 P11798
Q61026 Q9CZA6
Q921E6 P39447
O88485 Q60641
Q9DC40 P36888
P35396 P63009
O43516 Q9DCT2
Q9CQ39 Q9WU38
P26231 Q96KQ7
Q9ERE7 Q9CR26
O35972 Q9Z1X0
P48026 P23818
Q16594 Q8C0J2
P14859 Q9Z0G0
P23708 Q925I1
P51141 E9Q3T6
P05141 O70576
Q03142 P20338
P31946 P20340
Q61576 Q96EB6
Q9CW46 Q03142
P70166 O88907
Q8BH43 Q03164
P13393 Q9Z2B5
P68135 O14686
P09631 P55040
Q99K48 P60010
O35658 Q9Y5U4
P23242 P20226
Q9Y6N7 Q62120
P35269 P30671
Q9ERE7 Q9D902
Q60898 O94985
Q7KZI7 O70374
O08599 P46531
Q80U63 P41183
Q8BP92 Q8C5S7
Q9UKB1 P23818
Q5SPW0 Q9JKY0
Q13393 Q8VCD5
Q9Y5U4 P05787
Q9UPY3 Q8VCF0
Q9UPY3 P50540
Q9UHB6 Q9JIH2
Q99684 P21707
P20029 P97474
Q925I1 Q9CZA6
Q9DCT2 Q6NZM9
O14735 P17156
P13002 O60333
Q9CSN1 P41250
P63140 O43896
P18541 P16615
Q01094 P51150
Q60793 Q80U04
Q8C456 Q06481
P06400 Q8BKX1
P15884 Q02111
O00763 O43516
Q6PAL8 Q03160
O43896 P22091
P09803 P14653
Q99J83 Q8R3L8
P52431 P0C605
Q9ERE7 Q9WVE0
Q60821 P50395
O35235 P15884
Q62280 P62157
P97481 P35235
Q64693 Q9BXL7
Q8JZN5 Q15814
Q96MT8 Q8VCD5
Q91X20 Q5BJU5
Q91ZP6 P70677
P20029 P97302
P10809 P97357
Q9CW03 P62962
P10809 Q9JK11
Q9DBS5 Q64163
Q8VC85 Q64279
Q60737 P39429
Q8CI75 P49711
Q9Y5U4 Q9DCJ1
P58774 Q5SPW0
P13346 P10809
P54725 Q6P9P6
Q9CR26 O14735
P60953 Q8CFI7
P38398 Q5BJU5
Q9D8T2 Q64287
Q9GKK5 P15927
Q9DCT2 P30280
Q8CGN4 Q811T9
Q61553 Q62141
Q9Z0S6 P08228
Q99MI6 Q8VEK3
Q60668 Q8VE91
P05141 P15337
P30275 Q9QZS8
P15864 Q9Z0S6
P46013 Q9GT24
Q9Y4D1 Q9Z2B5
P04273 Q9DCJ1
Q5VIR6 Q8K4Z3
Q9Z0W5 Q9Y5U4
A2AUM9 P41778
P21278 Q61827
Q9JHD2 P23242
P63044 Q61543
Q05769 Q3TQ03
P70191 Q8VI24
Q61712 P62812
P51668 Q8VE65
P10415 Q15814
P04273 P98083
Q99MI6 Q8K214
O14735 P14859
Q9Z1S8 P17535
Q80W00 P61224
O55222 Q8BX09
Q6Q899 Q62849
Q9Y6N7 P15924
P58771 P15307
P04049 Q61091
Q62193 Q9ERR1
Q921E6 Q9ERP3
P41183 P09619
P28652 Q8BHJ5
