O95848 P28331
Q9Y696 O15258
P23528 Q91VR2
O75110 Q9NX45
Q13439 Q8TBJ5
Q12931 Q05086
P35564 Q15056
Q562R1 Q9P086
P49755 Q15059
P62995 Q99570
O60315 P11766
Q9H765 Q00688
Q06335 Q96QB1
O95864 Q5W0Q7
O43837 Q9H0C5
P01912 Q96AE4
P34932 Q9BS34
Q14697 Q8IWZ3
Q8NEK5 A2IDD5
O14879 Q14571
Q99784 Q96SK3
Q03936 Q5TBA9
Q99666 Q8BH59
P00414 Q96S38
P57716 Q9NXW2
P17600 Q99784
Q8WV41 Q8WWZ7
Q12768 Q9BZK7
Q9H765 Q06455
Q96ND8 Q8WZ64
P05455 Q9H6D7
Q9H3D4 Q99LP6
Q15233 Q96R06
Q15788 O60603
O15126 P17302
Q8N3I7 P51532
Q9NTJ3 Q9P035
Q9Y448 Q9NP73
O94985 Q9HAD4
Q7L2E3 O43257
Q92734 P35609
Q14011 Q9NP73
O35964 Q8NB50
Q9Y3D2 Q76KP1
Q9NR31 Q9NZR1
Q9Y5A7 P61764
P07384 Q8IUR0
Q9Y2V7 P10126
Q9BY66 O15235
Q13438 O15067
Q8IUR0 Q86U28
Q92609 P48201
Q86Y82 O60313
Q9CR62 Q96JJ3
Q7L2E3 P46977
O75665 P28330
Q1KMD3 Q9ULP9
O00273 P0C0S5
P16104 Q92734
Q9UBB9 Q16891
O95232 P47708
P22695 P25685
Q9UM00 P04626
Q9BW30 Q96M27
P38646 Q96SN8
Q8WXD9 Q9UBC2
Q13554 P46977
Q9Y2A7 Q6NX49
Q9Y277 Q16643
P11712 Q8NDI1
P36957 Q9BPU6
Q92574 P52272
Q9UHQ4 O00471
Q13023 P40227
Q96ND8 O89112
Q13322 Q9GZU8
P48643 Q7Z6K1
Q9C0I1 Q05639
Q6P2Q9 O14617
Q9ULA0 Q6ICL3
P30876 Q86Y13
Q9Z140 Q9H6T0
Q9UKN5 Q6WCQ1
P15622 Q9GZQ8
P30043 P42704
P59923 O60229
O75928 Q9P2J5
P68400 Q16543
P26367 P97887
O95232 A5A3E0
Q9Y277 Q14571
P0CG48 Q8WWI5
P20248 Q7KZN9
Q52LR7 P30419
O15243 Q13029
Q9H840 Q92667
P50440 Q00765
Q5T1M5 P68400
Q9Y468 O60749
Q8IZL8 P83436
P62736 P14314
Q64467 O88935
Q15005 P21796
P51571 Q9BU02
O43490 O43426
Q00765 Q8IZL8
Q9UKI8 P15311
P82094 Q8N2K1
Q9Y3D6 P08592
P08113 Q6UB98
Q9EPK2 Q9NW13
P38646 P39656
Q91VZ6 O75251
P05109 Q9UJU3
Q9P246 Q9W0K0
Q8NCW5 O88935
Q96JC1 P35279
Q9P2E9 Q9C0H6
Q8IYX8 Q5U623
P35610 O15160
P31040 A0MZ66
Q8TCU4 Q9UMN6
P80313 Q9DB20
O75251 Q8TAG9
Q9Y6N7 Q7L2E3
Q9UID3 O00299
O75132 Q86U28
Q7Z3B3 Q8WUM4
Q5TB80 P40926
P42704 O75581
P61981 O75928
P34932 Q5BJF2
Q13948 P51149
P51881 Q9UJW8
P11142 Q00765
Q8NB50 Q91VZ6
P51149 Q9H2X8
O15067 Q7LBC6
Q9P2B2 Q676U5
Q9Y2J2 Q9BVK2
Q9BXM7 Q9HCM1
Q9NS37 Q80W21
Q01082 Q14202
Q96SN8 Q96K75
Q14155 Q9UKN5
Q8NDP4 P46781
Q9BQE3 Q9BQB6
Q8WZ64 Q9H3P2
Q96JB5 Q96BI3
Q93009 Q99JH7
P10632 Q13303
